Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com

HFRI Equity Hedge (Total) Index (HFRIEHI)
Date, Monthly Index Value
12/2015,17795.70
01/2016,16980.25
02/2016,16904.15
03/2016,17481.58
04/2016,17679.62
05/2016,17791.75
06/2016,17723.72
07/2016,18195.08
08/2016,18353.71
09/2016,18536.49
10/2016,18388.03
11/2016,18614.42
12/2016,18769.17
01/2017,19118.98
02/2017,19327.61
03/2017,19496.12
04/2017,19641.29
05/2017,19707.45
06/2017,19874.95
07/2017,20166.80
08/2017,20288.83
09/2017,20572.70
10/2017,20788.24
11/2017,20990.40
12/2017,21262.91
01/2018,21866.99
02/2018,21464.10
03/2018,21328.70
04/2018,21399.88
05/2018,21686.14
06/2018,21511.00
07/2018,21621.68
08/2018,21711.76
09/2018,21579.99
10/2018,20572.06
11/2018,20532.29
12/2018,19745.05
01/2019,20760.17
02/2019,21150.85
03/2019,21240.36
04/2019,21594.98
05/2019,20932.94
06/2019,21566.53
07/2019,21611.28
08/2019,21236.24
09/2019,21244.55
10/2019,21542.72
11/2019,21903.39
12/2019,22451.13
01/2020,22225.96
02/2020,21521.61
03/2020,19177.75
04/2020,20515.16
05/2020,21156.75
06/2020,21707.52
07/2020,22557.68
08/2020,23325.83
09/2020,23038.70
10/2020,23110.02
11/2020,25022.84
12/2020,26467.81
01/2021,26827.96
02/2021,28089.74
03/2021,28266.75
04/2021,29010.83
05/2021,29383.11
06/2021,29634.19
07/2021,29281.38
08/2021,29604.02
09/2021,29366.35
10/2021,29870.27
11/2021,29095.70
12/2021,29557.40
01/2022,28386.84
02/2022,28184.43
03/2022,28275.55
04/2022,27314.21
05/2022,27159.98
06/2022,26085.41
07/2022,26660.79
08/2022,26603.12
09/2022,25476.17
10/2022,25988.88
11/2022,26740.57
12/2022,26563.58
01/2023,27582.26
02/2023,27220.31
03/2023,27230.24
04/2023,27239.08
05/2023,27238.38
06/2023,28073.16
07/2023,28752.60
08/2023,28313.92
09/2023,27804.63
10/2023,27113.72
11/2023,28234.43



Source: Hedge Fund Research Inc. - © 2023 HFR Inc. - www.hfr.com


INDEX DATA USAGE NOTICE: All data and content on the HFR website and in the HFR Database products are for your informational and personal use only. The total return data provided on the HFR website, the HFR Database products, and the reports generated from them are for internal, non-commercial use only. The data is not sufficient, comprehensive enough or approved for use in connection with investment products or instruments. You may not copy, redistribute, sell, retransmit, or make the data available to a third party, or otherwise use it for any commercial or public purpose unless you have a separate written agreement with HFR. You require a written license from HFR to use the HFR data, HFR marks and names and/or HFR Index names, including but not limited to use in connection with investment products and instruments (regardless of whether such products or instruments are based on, linked to or track an HFR Index), the name of investment products and instruments, in prospectuses, marketing and other materials publicly or commercially disseminated, benchmarking purposes, and any SEC, government or regulatory filings. Please contact HFR for additional information at: INDICES@HFR.COM
